paper.id,meta.analysis.paper,meta.analysis.id,meta.analysis.year,response.variable,study,study.id,study.id.cumulative,study.year,id.effect.within.study,eff.size.measure,eff.size,var.eff.size,weighted.eff.size,weight
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Santos and Telleria 1994,1,15272,1994,1,hedges.d,-0.65,0.6,-1.083333333,1.666666667
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Guariguata et al. 2000,2,15273,2000,1,hedges.d,2.24,0.23,9.739130435,4.347826087
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Guariguata et al. 2000,2,15273,2000,2,hedges.d,-1.39,0.17,-8.176470588,5.882352941
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Guariguata et al. 2000,2,15273,2000,3,hedges.d,-1.08,0.16,-6.75,6.25
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Guariguata et al. 2000,2,15273,2000,4,hedges.d,0.42,0.14,3,7.142857143
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Guariguata et al. 2000,2,15273,2000,5,hedges.d,0.34,0.14,2.428571429,7.142857143
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Guariguata et al. 2000,2,15273,2000,6,hedges.d,-0.05,0.13,-0.384615385,7.692307692
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Roldan and Simonetti 2000,3,15274,2000,1,hedges.d,-5.53,0.52,-10.63461538,1.923076923
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Wright et al. 2000,4,15275,2000,1,hedges.d,-1.07,0.49,-2.183673469,2.040816327
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Wright et al. 2000,4,15275,2000,2,hedges.d,-0.46,0.42,-1.095238095,2.380952381
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Wright and Duber 2001,5,15276,2001,1,hedges.d,-1.2,0.7,-1.714285714,1.428571429
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Graham et al. 2002,6,15277,2002,1,hedges.d,0.72,0.39,1.846153846,2.564102564
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Graham et al. 2002,6,15277,2002,2,hedges.d,0.06,0.36,0.166666667,2.777777778
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Graham et al. 2002,6,15277,2002,3,hedges.d,0.37,0.22,1.681818182,4.545454545
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Graham et al. 2002,6,15277,2002,4,hedges.d,-0.02,0.22,-0.090909091,4.545454545
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Guariguata et al. 2002,7,15278,2002,1,hedges.d,2.43,0.25,9.72,4
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Guariguata et al. 2002,7,15278,2002,2,hedges.d,0.5,0.14,3.571428571,7.142857143
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Guariguata et al. 2002,7,15278,2002,3,hedges.d,0,0.13,0,7.692307692
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Serio-Silva and Rico-Gray 2002,8,15279,2002,1,hedges.d,1.59,0.25,6.36,4
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Serio-Silva and Rico-Gray 2002,8,15279,2002,2,hedges.d,0.44,0.23,1.913043478,4.347826087
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Cordeiro and Howe 2003,9,15280,2003,1,hedges.d,-0.98,0.18,-5.444444444,5.555555556
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Cordeiro and Howe 2003,9,15280,2003,2,hedges.d,-0.91,0.18,-5.055555556,5.555555556
202,neuschulz.et.al.2016.sci.rep,385,2016,dispersal,Cordeiro and Howe 2003,9,15280,2003,3,hedges.d,-0.61,0.17,-3.588235294,5.882352941
