paper.id,meta.analysis.paper,meta.analysis.id,meta.analysis.year,response.variable,study,study.id,study.id.cumulative,study.year,id.effect.within.study,eff.size.measure,eff.size,var.eff.size,weighted.eff.size,weight
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Sheng. Liu. and Liu 2000,1,17021,2000,1,log.ratio,0.3924,0.0005,784.8,2000
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Sheng. Liu. and Liu 2000,1,17021,2000,2,log.ratio,1.3505,0.0009,1500.555556,1111.111111
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Sheng. Liu. and Liu 2000,1,17021,2000,3,log.ratio,-0.6464,0.0026,-248.6153846,384.6153846
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Sheng. Liu. and Liu 2000,1,17021,2000,4,log.ratio,0.0863,0.0031,27.83870968,322.5806452
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Sheng. Liu. and Liu 2000,1,17021,2000,5,log.ratio,0.5955,0.0031,192.0967742,322.5806452
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Sheng. Liu. and Liu 2000,1,17021,2000,6,log.ratio,0.3307,0.0037,89.37837838,270.2702703
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Sheng. Liu. and Liu 2000,1,17021,2000,7,log.ratio,-0.3016,0.0041,-73.56097561,243.902439
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Sheng. Liu. and Liu 2000,1,17021,2000,8,log.ratio,-0.3553,0.0042,-84.5952381,238.0952381
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Sheng. Liu. and Liu 2000,1,17021,2000,9,log.ratio,-0.9791,0.0043,-227.6976744,232.5581395
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Sheng. Liu. and Liu 2000,1,17021,2000,10,log.ratio,0.0559,0.0046,12.15217391,217.3913043
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Sheng. Liu. and Liu 2000,1,17021,2000,11,log.ratio,1.3825,0.0049,282.1428571,204.0816327
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Sheng. Liu. and Liu 2000,1,17021,2000,12,log.ratio,-0.0255,0.0062,-4.112903226,161.2903226
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Sheng. Liu. and Liu 2000,1,17021,2000,13,log.ratio,0.0317,0.0081,3.913580247,123.4567901
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Sheng. Liu. and Liu 2000,1,17021,2000,14,log.ratio,-0.1651,0.0099,-16.67676768,101.010101
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Sheng. Liu. and Liu 2000,1,17021,2000,15,log.ratio,-0.4914,0.0191,-25.72774869,52.35602094
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Sheng. Liu. and Liu 2000,1,17021,2000,16,log.ratio,-0.4296,0.029,-14.8137931,34.48275862
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Liu et al 2002,2,17022,2002,1,log.ratio,0.1484,0.007,21.2,142.8571429
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Liu et al 2002,2,17022,2002,2,log.ratio,0.6308,0.0077,81.92207792,129.8701299
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Liu et al 2002,2,17022,2002,3,log.ratio,0.546,0.0106,51.50943396,94.33962264
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Liu et al 2002,2,17022,2002,4,log.ratio,-0.4237,0.0121,-35.01652893,82.6446281
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Liu et al 2002,2,17022,2002,5,log.ratio,0.2624,0.0367,7.14986376,27.2479564
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Liu et al 2002,2,17022,2002,6,log.ratio,-0.1883,0.057,-3.303508772,17.54385965
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Liu et al 2002,2,17022,2002,7,log.ratio,0.5255,0.0681,7.716593245,14.68428781
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Liu et al 2002,2,17022,2002,8,log.ratio,-0.1882,0.1359,-1.384841795,7.358351729
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Gao and Liu 2003,3,17023,2003,1,log.ratio,-0.2231,0.0006,-371.8333333,1666.666667
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Gao and Liu 2003,3,17023,2003,2,log.ratio,0.1971,0.0017,115.9411765,588.2352941
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Gao and Liu 2003,3,17023,2003,3,log.ratio,0.3629,0.0039,93.05128205,256.4102564
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Gao and Liu 2003,3,17023,2003,4,log.ratio,-0.7303,0.0169,-43.21301775,59.17159763
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Gao and Liu 2003,3,17023,2003,5,log.ratio,-0.4393,0.0258,-17.02713178,38.75968992
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Gao and Liu 2003,3,17023,2003,6,log.ratio,-0.1542,0.0691,-2.23154848,14.47178003
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Gao and Liu 2003,3,17023,2003,7,log.ratio,-0.2156,0.0006,-359.3333333,1666.666667
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Gao and Liu 2003,3,17023,2003,8,log.ratio,0.3346,0.0019,176.1052632,526.3157895
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Gao and Liu 2003,3,17023,2003,9,log.ratio,0.1327,0.0043,30.86046512,232.5581395
220,ren.et.al.2017.land.degrad.develop,441,2017,restored.vs.degraded,Gao and Liu 2003,3,17023,2003,10,log.ratio,-0.5702,0.0272,-20.96323529,36.76470588
