meta.analysis.id,meta.analysis.year,response.variable,study,study.id,study.id.cumulative,study.year,id.effect.within.study,eff.size.measure,eff.size,var.eff.size,weighted.eff.size,weight
64,2017,N2O.flux,Nielsen et al.. 2009,1,2093,2009,1,log.ratio,-5.0752,0.3385,-14.99320532,2.954209749
64,2017,N2O.flux,Nielsen et al.. 2009,1,2093,2009,2,log.ratio,-5.0752,0.3385,-14.99320532,2.954209749
64,2017,N2O.flux,Nielsen et al.. 2009,1,2093,2009,3,log.ratio,0,0.6667,0,1.499925004
64,2017,N2O.flux,Nielsen et al.. 2009,1,2093,2009,4,log.ratio,0,0.6667,0,1.499925004
64,2017,N2O.flux,Nielsen et al.. 2009,1,2093,2009,5,log.ratio,0,0.6667,0,1.499925004
64,2017,N2O.flux,Nielsen et al.. 2009,1,2093,2009,6,log.ratio,0,0.6667,0,1.499925004
64,2017,N2O.flux,Dong et al.. 2011,2,2094,2011,1,log.ratio,-0.7333,0.036,-20.36944444,27.77777778
64,2017,N2O.flux,Dong et al.. 2011,2,2094,2011,2,log.ratio,-0.0854,0.0445,-1.919101124,22.47191011
64,2017,N2O.flux,Dong et al.. 2011,2,2094,2011,3,log.ratio,-0.041,0.0221,-1.85520362,45.24886878
64,2017,N2O.flux,Dong et al.. 2011,2,2094,2011,4,log.ratio,0.0519,0.0453,1.145695364,22.07505519
64,2017,N2O.flux,Dong et al.. 2011,2,2094,2011,5,log.ratio,0.08,0.0341,2.346041056,29.3255132
64,2017,N2O.flux,Dong et al.. 2011,2,2094,2011,6,log.ratio,0.0692,0.0203,3.408866995,49.26108374
64,2017,N2O.flux,Dong et al.. 2011,2,2094,2011,7,log.ratio,0.1784,0.0399,4.471177945,25.06265664
64,2017,N2O.flux,Dong et al.. 2011,2,2094,2011,8,log.ratio,0.2189,0.0266,8.229323308,37.59398496
64,2017,N2O.flux,Dong et al.. 2011,2,2094,2011,9,log.ratio,0.2132,0.0155,13.75483871,64.51612903
64,2017,N2O.flux,Dauss et al.. 2012,3,2095,2012,1,log.ratio,-3.979681654,0.0101,-394.0278865,99.00990099
64,2017,N2O.flux,Dauss et al.. 2012,3,2095,2012,2,log.ratio,-1.440707783,0.0101,-142.6443349,99.00990099
64,2017,N2O.flux,Dauss et al.. 2012,3,2095,2012,3,log.ratio,-0.451075619,0.0101,-44.66095241,99.00990099
64,2017,N2O.flux,Dauss et al.. 2012,3,2095,2012,4,log.ratio,0,0.0101,0,99.00990099
64,2017,N2O.flux,Dauss et al.. 2012,3,2095,2012,5,log.ratio,0,0.0101,0,99.00990099
64,2017,N2O.flux,Dauss et al.. 2012,3,2095,2012,6,log.ratio,3.783,200.0436,0.018910877,0.00499891
64,2017,N2O.flux,Marton et al.. 2012,4,2096,2012,1,log.ratio,0,0.0625,0,16
64,2017,N2O.flux,Marton et al.. 2012,4,2096,2012,2,log.ratio,0.9163,0.0625,14.6608,16
64,2017,N2O.flux,Marton et al.. 2012,4,2096,2012,3,log.ratio,1.4469,0.085,17.02235294,11.76470588
64,2017,N2O.flux,Marton et al.. 2012,4,2096,2012,4,log.ratio,1.6094,0.0625,25.7504,16
64,2017,N2O.flux,Marton et al.. 2012,4,2096,2012,5,log.ratio,4.1109,0.085,48.36352941,11.76470588
64,2017,N2O.flux,Marton et al.. 2012,4,2096,2012,6,log.ratio,4.6925,0.085,55.20588235,11.76470588
64,2017,N2O.flux,Teixeira et al.. 2013,5,2097,2013,1,log.ratio,5.353,0.0025,2141.2,400
64,2017,N2O.flux,Teixeira et al.. 2013,5,2097,2013,2,log.ratio,5.5633,0.0025,2225.32,400
64,2017,N2O.flux,Teixeira et al.. 2013,5,2097,2013,3,log.ratio,3.5823,0.0016,2238.9375,625
64,2017,N2O.flux,Teixeira et al.. 2013,5,2097,2013,4,log.ratio,6.3704,0.0025,2548.16,400
64,2017,N2O.flux,Teixeira et al.. 2013,5,2097,2013,5,log.ratio,5.0292,0.0016,3143.25,625
64,2017,N2O.flux,Teixeira et al.. 2013,5,2097,2013,6,log.ratio,5.9217,0.0016,3701.0625,625
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,1,log.ratio,-2.9832,0.2855,-10.44903678,3.50262697
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,2,log.ratio,-3.091,0.4132,-7.480638916,2.420135528
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,3,log.ratio,-2.5494,0.4156,-6.134263715,2.406159769
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,4,log.ratio,-1.8871,0.4623,-4.081981397,2.163097556
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,5,log.ratio,-3.1781,0.7904,-4.020875506,1.265182186
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,6,log.ratio,-2.5802,0.6639,-3.886428679,1.506250941
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,7,log.ratio,-2.1203,0.8963,-2.365614192,1.115697869
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,8,log.ratio,-2.1401,1.4163,-1.511049919,0.706065099
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,9,log.ratio,-1.8845,1.2925,-1.458027079,0.773694391
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,10,log.ratio,-2.1972,1.6907,-1.299580056,0.591470988
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,11,log.ratio,-0.8109,0.6732,-1.204545455,1.485442662
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,12,log.ratio,-1.4984,1.4299,-1.047905448,0.699349605
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,13,log.ratio,-1.4469,1.4163,-1.021605592,0.706065099
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,14,log.ratio,-0.9163,1.5938,-0.574915297,0.627431296
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,15,log.ratio,-1.0678,2.0047,-0.532648277,0.498827755
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,16,log.ratio,-0.7859,1.5903,-0.494183487,0.628812174
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,17,log.ratio,-1.3218,3.4516,-0.382952833,0.289720709
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,18,log.ratio,-0.5996,1.9043,-0.314866355,0.525127343
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,19,log.ratio,-0.5108,1.7553,-0.291004387,0.569703185
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,20,log.ratio,-0.5878,9.6515,-0.06090245,0.103610838
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,21,log.ratio,-0.087,1.5317,-0.056799634,0.652869361
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,22,log.ratio,-4.3175,100.8278,-0.042820532,0.0099179
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,23,log.ratio,0.0715,3.7727,0.018951944,0.265062157
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,24,log.ratio,0.5754,1.6168,0.355888174,0.61850569
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,25,log.ratio,0.4951,1.1824,0.418724628,0.845737483
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,26,log.ratio,0.3075,0.6721,0.457521202,1.487873828
64,2017,N2O.flux,Zhang et al.. 2013,6,2098,2013,27,log.ratio,2.0124,3.5205,0.571623349,0.284050561
64,2017,N2O.flux,Reddy et al.. 2014,7,2099,2014,1,log.ratio,-0.8008,0.0134,-59.76119403,74.62686567
64,2017,N2O.flux,Reddy et al.. 2014,7,2099,2014,2,log.ratio,0.1003,0.0318,3.15408805,31.44654088
64,2017,N2O.flux,Reddy et al.. 2014,7,2099,2014,3,log.ratio,0.1528,0.0454,3.365638767,22.02643172
64,2017,N2O.flux,Reddy et al.. 2014,7,2099,2014,4,log.ratio,0.1847,0.0358,5.159217877,27.93296089
64,2017,N2O.flux,Reddy et al.. 2014,7,2099,2014,5,log.ratio,0.2221,0.0426,5.213615023,23.4741784
64,2017,N2O.flux,Reddy et al.. 2014,7,2099,2014,6,log.ratio,0.2947,0.0212,13.9009434,47.16981132
64,2017,N2O.flux,Reddy et al.. 2014,7,2099,2014,7,log.ratio,0.4308,0.0212,20.32075472,47.16981132
64,2017,N2O.flux,Reddy et al.. 2014,7,2099,2014,8,log.ratio,0.6133,0.0076,80.69736842,131.5789474
64,2017,N2O.flux,Reddy et al.. 2014,7,2099,2014,9,log.ratio,0.2358,0.0023,102.5217391,434.7826087
64,2017,N2O.flux,Reddy et al.. 2014,7,2099,2014,10,log.ratio,0.5468,0.0036,151.8888889,277.7777778
65,2017,NH4.flux,Singh et al.. 2002,1,2100,2002,1,log.ratio,0.5438,8.8232,0.061632968,0.113337565
65,2017,NH4.flux,Singh et al.. 2002,1,2100,2002,2,log.ratio,2.202,6.6799,0.329645653,0.14970284
65,2017,NH4.flux,Dauss et al.. 2012,2,2101,2012,1,log.ratio,7.7796,422.5622,0.018410544,0.002366516
65,2017,NH4.flux,Dauss et al.. 2012,2,2101,2012,2,log.ratio,8.0558,425.5998,0.01892811,0.002349625
