Reference,Species,Family,Observations,Pub,"Seed
size (mg)","Exp.
cond","Census
time (months)","Life
form",r_survival,n_survival,r_growth,n_growth,r_fecundity,n_fecundity
Kalisz 1986,Collinsia verna,Scrophulariaceae,Winter 82,1,0.332,F,6,A,-0.062,5583,,,,
Kalisz 1986,Collinsia verna,Scrophulariaceae,Spring 82,1,0.332,F,12,A,0.045,4324,,,-0.179,2580
Kalisz 1986,Collinsia verna,Scrophulariaceae,Winter 83,1,0.332,F,6,A,0.012,8088,,,,
Kalisz 1986,Collinsia verna,Scrophulariaceae,Spring 83,1,0.332,F,12,A,0.01,3556,,,-0.101,2440
"Abul-Fatih and Bazzaz 
        1979",Ambrosia trifida,Compositae,With Intrasp. competence,1,1.44,F,6,A,-0.119,1000,,,,
"Abul-Fatih and Bazzaz 
        1979",Ambrosia trifida,Compositae,"Without Intrasp. 
        competence",1,1.44,F,6,A,-0.038,1000,,,,
Lacey 1982,Daucus carota,Umbelliferae,1976- 77,1,1.04,F,12,A,0.471,2094,,,,
Lacey 1982,Daucus carota,Umbelliferae,1977-78,1,1.04,F,12,A,0.307,933,-0.714,54,,
"Black and Wilkinson 
        1963",Trifolium subterraneum,Leguminosae,,1,7,NF,,,,,-0.053,960,,
Miller 1987,Ambrosia artemissiifolia,Compositae,1982,1,,F,6,A,,,-0.068,202,,
Miller 1987,Ambrosia artemissiifolia,Compositae,1983,1,,F,6,A,,,-0.1181,42,,
Miller 1987,Ambrosia artemissiifolia,Compositae,1984,1,,F,6,A,-0.0004,260,-0.1556,260,,
Miller 1987,Ambrosia artemissiifolia,Compositae,1985,1,,F,6,A,0.0068,267,-0.441,267,,
Miller 1987,Chenopodium album,Chenopodiaceae,1982,1,1.16,F,6,A,,,-0.0047,101,,
Miller 1987,Chenopodium album,Chenopodiaceae,1983,1,1.16,F,6,A,,,-0.0025,60,,
Miller 1987,Chenopodium album,Chenopodiaceae,1984,1,1.16,F,6,A,-0.0145,340,-0.0038,340,,
Miller 1987,Chenopodium album,Chenopodiaceae,1985,1,1.16,F,6,A,-0.0018,169,-0.0115,169,,
Miller 1987,Lepidium campestre,Cruciferae,1982,1,,F,6,A,,,-0.0011,91,,
